"Event_id","Event_date","Event_group","involvement","IsProtest","preannounced","public_invitation","disruption","violence","symbolic","arrests","location_target","Event_name","headcount","action_freetext","location_freetext","Event_day","Event_prob_protest","issue"
"Burston.2019-09-01.E1","2019-09-01","pcs_union, unitetheunion","Participated, Organised","Protest","Before event day","Yes","No","No","No","No","Public space","Burston Strike School Rally","","rally","","Sun",0.999995773321336,"pov"
"pplsassembly.2019-09-02.E1","2019-09-02","pplsassembly","Organised","Protest","After event","No","Yes","No","No","No","Company site","Stop the coup, stop Boris, Tories out","","occupation, demonstration","Midland Hotel","Mon",0.990735313179949,"pov"
"pcs_union.2019-09-02.E1","2019-09-02","pcs_union","Organised","Strike","Before event day","No","No","No","No","No","Other","BEIS strike","","strike","","Mon",0.965573462685509,"pov"
"CClimateAction.2019-09-03.E1","2019-09-03","CClimateAction","Organised","Protest","After event","No","Yes","No","No","Yes","Company site","oppose arms trade","3+","lock on","DSEI arms fair","Tue",0.65078991651535,"env"
"pcs_union.2019-09-03.E1","2019-09-03","pcs_union","Participated","Protest","Before event day","Yes","No","No","No","No","Public space","oppose proroguing Parliament","","rally","Parliament square","Tue",0.999999946031082,"pov"
"pplsassembly.2019-09-03.E1","2019-09-03","pplsassembly","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","demand general election now","","protest","Parliament square","Tue",0.999998722114476,"pov"
"Stop DSEI.2019-09-04.E1","2019-09-04","CNDuk, ExtinctionR, TridentPlough","Organised, Organised, Organised","Protest","Before event day","No","Yes","No","No","Yes","Company site","Stop DSEI","300+","blockade","DSEI arms fair, Excel London","Wed",0.999999999999999,"env"
"Stop DSEI.2019-09-04.E2","2019-09-04","CNDuk, ExtinctionR, TridentPlough","None, Organised, None","Protest","Before event day","Yes","No","No","Yes","No","Company site","Plane truth procession, oppose aviation","","procession, performance","Islington Business Design Centre","Wed",0.999999999999999,"env"
"ExtinctionR.2019-09-05.E1","2019-09-05","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","Yes","No","Company site","Act for the Amazon","","die in","Blackrock, 12 Throgmorton Avenue","Thu",0.999479921621013,"env"
"GMB_union.2019-09-05.E1","2019-09-05","GMB_union","Participated","Protest","Before event day","Yes","No","No","No","No","Company site","Treat Asda workers with respect","1000","protest, demonstration","outside Asdas","Thu",0.99779679407967,"pov"
"IWGBunion.2019-09-05.E1","2019-09-05","IWGBunion","Organised","Protest","On day, before event","Yes","No","No","No","No","Company site","demand living wage and sick pay","","demonstration","5 Hertford Street","Thu",0.899138005237557,"pov"
"ExtinctionR.2019-09-07.E1","2019-09-07","ExtinctionR","Organised","Protest","Before event day","Yes","No","No","Yes","No","Political site","Demand 6 billion per year for cycling","","cycling protest, die in, funeral procession","Whitehall, Lincoln inn fields, Treasury","Sat",0.999999986213633,"env"
