"group_date_id","Event_date","Event_group","involvement","IsProtest","preannounced","public_invitation","disruption","violence","symbolic","arrests","location_target","Event_name","headcount","action_freetext","location_freetext","date_preannounced","n_tweets_about_event_day","n_tweets_about_event_day_weighted","n_articles","n_articles_bm","n_articles_after","n_articles_bm_after","source_ind","source_express","source_guardian","source_dstar","source_mirror","source_sun","source_dm","source_metro","source_telegraph","source_times","source_ft","source_itv","source_four","source_bbc","bm_source_ind","bm_source_express","bm_source_guardian","bm_source_dstar","bm_source_mirror","bm_source_sun","bm_source_dm","bm_source_metro","bm_source_telegraph","bm_source_times","bm_source_ft","bm_source_itv","bm_source_four","bm_source_bbc","issue"
"EISUnion/2011-10-01","2011-10-01","EISUnion","Organised","Protest","Before event day","Yes","No","No","No","No","Public space","People 1st","","march, rally, demonstration","Aberdeen, Glasgow","2011-09-29",4,3.54568356275558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pov"
"OccupyMCR/2011-10-02","2011-10-02","OccupyMCR","Organised","Protest","Before event day","Yes","Yes","No","No","No","Public space","1st occupation","20000","occupation","Albert Square, Manchester","2011-09-02",9,5.8411595378005,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pov"
"unitetheunion/2011-10-02","2011-10-02","unitetheunion","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","Manchester for the Alternative, oppose cuts","","march","Tory conference","2011-09-27",4,1.88647853583097,7,6,7,6,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,"pov"
"CNDuk/2011-10-03","2011-10-03","CNDuk","Organised","Protest","Before event day","Yes","Yes","No","No","No","Company site","Stop New Nuclear","","blockade","Hinkley","2011-10-02",4,2.07658129744232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"Ukuncut/2011-10-09","2011-10-09","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","No","No","Public space","oppose NHS cuts","","banner, action, occupation, block bridge, shut down","Westminster bridge","2011-09-23",20,10.0511576829027,10,9,7,6,3,0,4,0,3,0,0,0,0,0,0,0,0,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,"pov"
"campaigncc/2011-10-13","2011-10-13","campaigncc","Organised","Protest","Before event day","Yes","No","No","No","No","Political site","anti-fracking","","demonstration","DECC","2011-10-11",1,0.878747522830963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"env"
"OccupyLondon/2011-10-15","2011-10-15","OccupyLondon","Organised","Protest","Before event day","Yes","Yes","No","No","No","Public space","Occupy London","","occupation","Paternoster square, St Paul's Cathedral, London Stock Exchange","2011-09-30",20,10.0397132488518,71,62,65,56,16,3,31,1,0,1,5,0,4,8,2,0,0,0,14,3,26,1,0,1,5,0,3,8,1,0,0,0,"pov"
"OccupyMCR/2011-10-15","2011-10-15","OccupyMCR","Organised","Protest","After event","No","Yes","No","No","No","Company site","","","closed","banks, Santander, Barclays, Halifax, Vodaphone, Topman","2011-10-15",6,2.79324005544186,18,4,16,4,1,0,14,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"pov"
"NASUWT/2011-10-18","2011-10-18","NASUWT","Organised","Strike","Before event day","No","No","No","No","No","Other","oppose academies","","strike action","Kingswinford School, Dudley","2011-10-17",5,2.40974527620955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pov"
"Ukuncut/2011-10-24","2011-10-24","Ukuncut","Organised","Protest","Before event day","Yes","Yes","No","No","No","Political site","oppose tax avoidance, vodafone, HMRC head should resign","","occupation","HMRC","2011-10-20",8,4.21115538452451,4,5,3,4,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,"pov"
